Codigo de vía tratado,Literal completo del vial tratado,Clase de la via tratado,Particula de la via tratado,Nombre de la via tratado,Codigo de via que cruza o enlaza,Literal completo del vial que cruza,Clase de la via que cruza,Particula de la via que cruza,Nombre de la via que cruza,Coordenada X (Guia Urbana) cm (cruce),Coordenada Y (Guia Urbana) cm (cruce),Longitud en S R  WGS84 (cruce),Latitud en S R  WGS84 (cruce)
1105,GLORIETA DE S.A.R. DON JUAN DE BORBÓN Y BATTEMBERG             ,GLORIETA                ,DE    ,S.A.R. DON JUAN DE BORBON Y BATTEMBERG          ,1114,AVENIDA DE LA CAPITAL DE ESPAÑA MADRID                         ,AVENIDA                 ,DE LA ,CAPITAL DE ESPAÑA MADRID                        ,44791680,447930423,3º36'56.18'' W  ,40º27'39.22'' N 
1105,GLORIETA DE S.A.R. DON JUAN DE BORBÓN Y BATTEMBERG             ,GLORIETA                ,DE    ,S.A.R. DON JUAN DE BORBON Y BATTEMBERG          ,1110,AVENIDA DEL CONSEJO DE EUROPA                                  ,AVENIDA                 ,DEL   ,CONSEJO DE EUROPA                               ,44788559,447921443,3º36'57.47'' W  ,40º27'36.3'' N  
1105,GLORIETA DE S.A.R. DON JUAN DE BORBÓN Y BATTEMBERG             ,GLORIETA                ,DE    ,S.A.R. DON JUAN DE BORBON Y BATTEMBERG          ,1111,CALLE DE LA RIBERA DEL SENA                                    ,CALLE                   ,DE LA ,RIBERA DEL SENA                                 ,44788328,447928543,3º36'57.62'' W  ,40º27'38.6'' N  
1105,GLORIETA DE S.A.R. DON JUAN DE BORBÓN Y BATTEMBERG             ,GLORIETA                ,DE    ,S.A.R. DON JUAN DE BORBON Y BATTEMBERG          ,1113,CALLE VÍA DE DUBLÍN                                            ,CALLE                   ,      ,VIA DE DUBLIN                                   ,44795314,447929856,3º36'54.65'' W  ,40º27'39.07'' N 
1106,GLORIETA DE LUXEMBURGO                                         ,GLORIETA                ,DE    ,LUXEMBURGO                                      ,1112,AVENIDA DEL PARTENÓN                                           ,AVENIDA                 ,DEL   ,PARTENON                                        ,44757499,447955328,3º37'10.77'' W  ,40º27'47.22'' N 
1106,GLORIETA DE LUXEMBURGO                                         ,GLORIETA                ,DE    ,LUXEMBURGO                                      ,1111,CALLE DE LA RIBERA DEL SENA                                    ,CALLE                   ,DE LA ,RIBERA DEL SENA                                 ,44756547,447954264,3º37'11.15'' W  ,40º27'46.9'' N  
1403,GLORIETA DE LA PRADERA DE VAQUERIZAS                           ,GLORIETA                ,DE LA ,PRADERA DE VAQUERIZAS                           ,1418,CALLE DEL COLLADO DE MARICHIVA                                 ,CALLE                   ,DEL   ,COLLADO DE MARICHIVA                            ,43893356,448264021,3º43'18.74'' W  ,40º29'25.2'' N  
1403,GLORIETA DE LA PRADERA DE VAQUERIZAS                           ,GLORIETA                ,DE LA ,PRADERA DE VAQUERIZAS                           ,1397,CALLE DEL MIRADOR DE LA REINA                                  ,CALLE                   ,DEL   ,MIRADOR DE LA REINA                             ,43891482,448267185,3º43'19.56'' W  ,40º29'26.24'' N 
1403,GLORIETA DE LA PRADERA DE VAQUERIZAS                           ,GLORIETA                ,DE LA ,PRADERA DE VAQUERIZAS                           ,1402,CALLE DE LA SENDA DEL INFANTE                                  ,CALLE                   ,DE LA ,SENDA DEL INFANTE                               ,43895386,448265109,3º43'17.89'' W  ,40º29'25.57'' N 
1807,GLORIETA DE MARÍA REINA                                        ,GLORIETA                ,DE    ,MARIA REINA                                     ,61500,CALLE DE ANTONIO SANFIZ                                        ,CALLE                   ,DE    ,ANTONIO SANFIZ                                  ,43336438,447928016,3º47'14.01'' W  ,40º27'34.7'' N  
1807,GLORIETA DE MARÍA REINA                                        ,GLORIETA                ,DE    ,MARIA REINA                                     ,94800,CAMINO DEL BARRIAL                                             ,CAMINO                  ,DEL   ,BARRIAL                                         ,43335663,447927405,3º47'14.35'' W  ,40º27'34.5'' N  
1807,GLORIETA DE MARÍA REINA                                        ,GLORIETA                ,DE    ,MARIA REINA                                     ,552800,AVENIDA DE LA OSA MAYOR                                        ,AVENIDA                 ,DE LA ,OSA MAYOR                                       ,43335803,447925081,3º47'14.3'' W   ,40º27'33.75'' N 
2341,GLORIETA DE LA ERMITA DE LA VIRGEN DE LA SOLEDAD               ,GLORIETA                ,DE LA ,ERMITA DE LA VIRGEN DE LA SOLEDAD               ,840,CALLE DE ARIADNA                                               ,CALLE                   ,DE    ,ARIADNA                                         ,45077230,447999146,3º34'55.15'' W  ,40º28'2.13'' N  
2341,GLORIETA DE LA ERMITA DE LA VIRGEN DE LA SOLEDAD               ,GLORIETA                ,DE LA ,ERMITA DE LA VIRGEN DE LA SOLEDAD               ,439900,AVENIDA DE LOGROÑO                                             ,AVENIDA                 ,DE    ,LOGROÑO                                         ,45072412,447997384,3º34'57.18'' W  ,40º28'1.57'' N  
2849,GLORIETA DEL MONTE DEL GOZO                                    ,GLORIETA                ,DEL   ,MONTE DEL GOZO                                  ,2798,AVENIDA DEL CAMINO DE SANTIAGO                                 ,AVENIDA                 ,DEL   ,CAMINO DE SANTIAGO                              ,44345327,448474046,3º40'7.46'' W   ,40º30'34.46'' N 
